κ_m,κ_2
0.4019109271653925,0.1136877987588632
0.40536561843470637,0.11581119748647557
0.38270569103184265,0.10881913869719105
0.286918033224773,0.09576724699047388
0.34200191799379875,0.10427131692129413
0.29760634784319456,0.0966082773469283
0.3155291724236029,0.09890280088102421
0.3108195391697922,0.10389351207087164
0.3413884791474189,0.10322024533497617
0.31165523629199876,0.09974882455112183
0.3166285455676147,0.09844787608050236
0.28393840161079525,0.1011109590732055
0.28549787049597725,0.09597166125405168
0.2652483248590765,0.09544056376188945
0.29465013898012804,0.09798793858471815
0.28916376408159017,0.10005525330091991
0.2898124317130265,0.09977480508842532
0.2873326995098993,0.10119738057812637
0.3371944410861557,0.10304104564512287
0.2988902592918483,0.10046228244234988
0.31880401113868284,0.1025210297326468
0.31880401113868284,0.1025210297326468
0.30037456829126685,0.1007291780226788
0.31645542331581483,0.10271720569066269
0.2711835686577201,0.09579710764831059
0.2944545790812354,0.09989642782855139
0.2575856016064093,0.09346385249503791
0.31707430481514,0.10511530323119667
0.32686650017416985,0.09872062680004251
0.3145525511104894,0.09995730790646473
0.39748160327583815,0.11153793471895382
0.2712427108581015,0.09746767857629805
0.30185042761574754,0.09610625721439287
0.34380429521427686,0.1007038624772857
0.34867913820316776,0.10304491879164536
0.31947074566471056,0.10357117518482407
0.3474622604736755,0.10547021177338026
0.36163603354408075,0.10290422092746286
0.33764698004187865,0.10354295592105288
0.35386415453412856,0.10813803437883247
0.24827107696370426,0.09224368785398605
0.24911725110962732,0.09311544428127488
0.3014899805229889,0.10163045535143467
0.30047857777175946,0.09602172071843539
0.3017573629210727,0.10024311109708263
0.2622449645089151,0.09644219272888098
0.2672816479331219,0.09369351451252175
0.29748801104656686,0.09984205857490831
0.34376936757909343,0.10643695755320917
0.33274408972477715,0.10394812866232737
0.3243154088447867,0.10300351505173738
0.3029185563837764,0.09980746866540324
0.3199487727837276,0.10410578117044958
0.280586862960968,0.09784358923276876
0.32301054385436057,0.10450008103289445
0.3342635486012791,0.10349348591687375
0.33969149451205227,0.10110368893017745
0.2641512642260934,0.09504618964312771
0.26397010537731525,0.09691718839109224
0.26015661896879466,0.09484080235576277
0.26965263179541116,0.09013650402113992
0.26046006970042923,0.09450323060459732
0.26669220589765763,0.09227685706825954
0.2743514664254292,0.09346438207868568
0.2751200473928088,0.0967487901583219
0.2568531653994794,0.09297067794275886
0.2568531653994794,0.09297067794275886
0.24654570526724895,0.09342402202997048
0.2625612775204591,0.0915211632978861
0.3032847982398638,0.09618078672271228
0.29599586888689644,0.09767193546929424
0.29599586888689644,0.09767193546929424
0.288872621240427,0.098979965620144
0.3256149478923153,0.10359726004852332
0.31714801276781174,0.10042638580741398
0.33923444707098654,0.10659088976693072
0.22493929632609536,0.08694389816008227
